wave,nominator_student_id,school_id,class,nominator_seat,nomination_type,nomination_column,nominated_raw,nominated_seat_normalized,reason,candidate_count,candidate_student_ids
W2,s112044529060,44529,8.0,5,offline_enemy,v14_4_04,34.0,34,ambiguous_duplicate_seat,2,s112044529085;s112044529052
W2,s112044529060,44529,8.0,5,offline_enemy,v14_4_05,13.0,13,ambiguous_duplicate_seat,2,s112044529068;s112044529036
W2,s112044529062,44529,8.0,7,offline_friend,v14_3_04,15.0,15,ambiguous_duplicate_seat,2,s112044529070;s112044529038
W2,s112044529062,44529,8.0,7,offline_enemy,v14_4_01,13.0,13,ambiguous_duplicate_seat,2,s112044529068;s112044529036
W2,s112044529062,44529,8.0,7,offline_enemy,v14_4_02,26.0,26,ambiguous_duplicate_seat,2,s112044529077;s112044529044
W2,s112044529062,44529,8.0,7,offline_enemy,v14_4_03,4.0,4,ambiguous_duplicate_seat,2,s112044529059;s112044529027
W2,s112044529063,44529,8.0,8,online_friend,v14_1_04,15.0,15,ambiguous_duplicate_seat,2,s112044529070;s112044529038
W2,s112044529063,44529,8.0,8,online_friend,v14_1_05,24.0,24,ambiguous_duplicate_seat,2,s112044529075;s112044529042
W2,s112044529063,44529,8.0,8,online_enemy,v14_2_01,13.0,13,ambiguous_duplicate_seat,2,s112044529068;s112044529036
W2,s112044529063,44529,8.0,8,online_enemy,v14_2_03,4.0,4,ambiguous_duplicate_seat,2,s112044529059;s112044529027
W2,s112044529063,44529,8.0,8,online_enemy,v14_2_04,26.0,26,ambiguous_duplicate_seat,2,s112044529077;s112044529044
W2,s112044529063,44529,8.0,8,offline_friend,v14_3_05,24.0,24,ambiguous_duplicate_seat,2,s112044529075;s112044529042
W2,s112044529063,44529,8.0,8,offline_enemy,v14_4_02,13.0,13,ambiguous_duplicate_seat,2,s112044529068;s112044529036
W2,s112044529063,44529,8.0,8,offline_enemy,v14_4_03,15.0,15,ambiguous_duplicate_seat,2,s112044529070;s112044529038
W2,s112044529063,44529,8.0,8,offline_enemy,v14_4_04,26.0,26,ambiguous_duplicate_seat,2,s112044529077;s112044529044
W2,s112044529065,44529,8.0,10,online_friend,v14_1_01,15.0,15,ambiguous_duplicate_seat,2,s112044529070;s112044529038
W2,s112044529065,44529,8.0,10,online_friend,v14_1_02,12.0,12,ambiguous_duplicate_seat,2,s112044529067;s112044529035
W2,s112044529065,44529,8.0,10,online_enemy,v14_2_01,4.0,4,ambiguous_duplicate_seat,2,s112044529059;s112044529027
W2,s112044529065,44529,8.0,10,online_enemy,v14_2_02,32.0,32,ambiguous_duplicate_seat,2,s112044529083;s112044529050
W2,s112044529065,44529,8.0,10,online_enemy,v14_2_04,13.0,13,ambiguous_duplicate_seat,2,s112044529068;s112044529036
W2,s112044529065,44529,8.0,10,offline_friend,v14_3_03,15.0,15,ambiguous_duplicate_seat,2,s112044529070;s112044529038
W2,s112044529065,44529,8.0,10,offline_friend,v14_3_04,12.0,12,ambiguous_duplicate_seat,2,s112044529067;s112044529035
W2,s112044529065,44529,8.0,10,offline_enemy,v14_4_02,4.0,4,ambiguous_duplicate_seat,2,s112044529059;s112044529027
W2,s112044529065,44529,8.0,10,offline_enemy,v14_4_03,13.0,13,ambiguous_duplicate_seat,2,s112044529068;s112044529036
W2,s112044529065,44529,8.0,10,offline_enemy,v14_4_04,32.0,32,ambiguous_duplicate_seat,2,s112044529083;s112044529050
W2,s112044529067,44529,8.0,12,online_friend,v14_1_04,3.0,3,ambiguous_duplicate_seat,2,s112044529058;s112044529026
W2,s112044529067,44529,8.0,12,online_friend,v14_1_05,13.0,13,ambiguous_duplicate_seat,2,s112044529068;s112044529036
W2,s112044529067,44529,8.0,12,online_enemy,v14_2_02,24.0,24,ambiguous_duplicate_seat,2,s112044529075;s112044529042
W2,s112044529067,44529,8.0,12,online_enemy,v14_2_03,32.0,32,ambiguous_duplicate_seat,2,s112044529083;s112044529050
W2,s112044529067,44529,8.0,12,online_enemy,v14_2_04,26.0,26,ambiguous_duplicate_seat,2,s112044529077;s112044529044
W2,s112044529067,44529,8.0,12,online_enemy,v14_2_05,34.0,34,ambiguous_duplicate_seat,2,s112044529085;s112044529052
W2,s112044529067,44529,8.0,12,offline_friend,v14_3_04,3.0,3,ambiguous_duplicate_seat,2,s112044529058;s112044529026
W2,s112044529067,44529,8.0,12,offline_friend,v14_3_05,13.0,13,ambiguous_duplicate_seat,2,s112044529068;s112044529036
W2,s112044529067,44529,8.0,12,offline_enemy,v14_4_02,24.0,24,ambiguous_duplicate_seat,2,s112044529075;s112044529042
W2,s112044529067,44529,8.0,12,offline_enemy,v14_4_03,26.0,26,ambiguous_duplicate_seat,2,s112044529077;s112044529044
