scenario,feature_year,target_year,target_group_id,target_median_cutoff,n_rows_modeling,n_train,n_test,n_features_requested,n_features_used,target_positive_rate,c_selected,train_accuracy,train_precision,train_recall,train_f1,train_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc,cv5_accuracy_mean,cv5_accuracy_std,cv5_precision_mean,cv5_precision_std,cv5_recall_mean,cv5_recall_std,cv5_f1_mean,cv5_f1_std,cv5_auc_mean,cv5_auc_std,skipped_feature_groups_no_mapping_items,skipped_feature_groups_no_columns,dropped_all_missing_feature_cols
w2_self,W2,W2,v55,17.0,6713,5370,1343,19,19,0.5404439147921942,0.01,0.7128491620111732,0.7242744063324539,0.7567195037904894,0.7401415571284126,0.7790583702962357,0.7185405807892777,0.732620320855615,0.7548209366391184,0.7435549525101763,0.7814493840720451,0.7090693811150827,0.010135028296971292,0.7219470639132941,0.005957026460980431,0.7508197967132137,0.02191570966778873,0.7359968399551644,0.01213353209610289,0.777481994821066,0.005489272664600293,,,
w3_self,W3,W3,54,18.0,6713,5370,1343,20,19,0.5088633993743483,0.01584893192461114,0.7033519553072626,0.7051835853131749,0.716794731064764,0.7109417528579205,0.7743422607241012,0.6813104988830976,0.6855895196506551,0.6896046852122987,0.6875912408759124,0.7552309330493812,0.6956655529083297,0.012563848537551969,0.6976764922581933,0.01139886107919629,0.7093151986848527,0.0179364621150109,0.7033937951581741,0.013254936499406152,0.7678396134179866,0.018662903921315397,,,group_3
w2_predict_w3,W2,W3,54,18.0,6713,5370,1343,19,19,0.5088633993743483,0.003981071705534973,0.6540037243947858,0.6601977297693152,0.6597145993413831,0.6599560761346999,0.7150465503923242,0.6381236038719286,0.6494688922610015,0.6266471449487555,0.6378539493293591,0.700135320999157,0.6523184187368848,0.010910390102152882,0.6586959835710952,0.011839979896999473,0.6577877098798728,0.019743725981000545,0.6580958042560467,0.01219828987515129,0.7084118403695927,0.011756994826915284,,,
